iter	Passed	Remaining
0	1	185
1	3	175
2	5	169
3	6	155
4	8	154
5	9	156
6	11	154
7	13	152
8	15	151
9	16	152
10	18	149
11	20	147
12	21	145
13	23	144
14	25	142
15	26	141
16	28	139
17	30	138
18	32	137
19	33	134
20	35	133
21	37	131
22	38	129
23	40	128
24	42	126
25	43	124
26	45	122
27	47	121
28	48	119
29	50	117
30	52	116
31	53	114
32	55	112
33	57	111
34	59	110
35	60	108
36	62	106
37	64	104
38	65	103
39	67	101
40	69	99
41	69	96
42	71	95
43	73	93
44	75	92
45	76	90
46	78	88
47	80	87
48	82	85
49	84	84
50	86	82
51	87	80
52	89	79
53	91	77
54	92	75
55	94	73
56	95	72
57	97	70
58	99	69
59	101	67
60	102	65
61	104	64
62	106	62
63	108	60
64	109	59
65	111	57
66	113	55
67	114	54
68	116	52
69	118	50
70	119	48
71	121	47
72	123	45
73	125	43
74	127	42
75	130	41
76	136	40
77	139	39
78	143	38
79	146	36
80	148	34
81	153	33
82	157	32
83	160	30
84	162	28
85	164	26
86	171	25
87	174	23
88	177	21
89	181	20
90	185	18
91	188	16
92	191	14
93	193	12
94	196	10
95	198	8
96	201	6
97	203	4
98	205	2
99	207	0
