iter	Passed	Remaining
0	148	147885
1	149	74769
2	151	50432
3	154	38451
4	156	31138
5	158	26211
6	159	22666
7	162	20202
8	164	18126
9	166	16447
10	167	15061
11	168	13903
12	170	12922
13	171	12087
14	173	11376
15	176	10869
16	183	10600
17	185	10146
18	187	9684
19	191	9397
20	193	9027
21	195	8671
22	196	8344
23	197	8044
24	199	7775
25	200	7528
26	202	7292
27	207	7190
28	209	7002
29	211	6835
30	213	6664
31	214	6498
32	216	6356
33	222	6313
34	224	6201
35	226	6065
36	228	5944
37	232	5886
38	237	5841
39	240	5761
40	241	5655
41	245	5600
42	247	5516
43	250	5446
44	252	5354
45	253	5265
46	255	5181
47	257	5114
48	260	5056
49	267	5073
50	269	5007
51	271	4944
52	273	4882
53	275	4824
54	278	4791
55	281	4752
56	283	4697
57	285	4644
58	288	4595
59	290	4557
60	292	4504
61	296	4478
62	297	4430
63	300	4392
64	303	4372
65	306	4336
66	313	4368
67	317	4352
68	320	4325
69	323	4296
70	326	4276
71	329	4247
72	331	4210
73	333	4168
74	334	4125
75	335	4083
76	337	4042
77	338	4001
78	344	4016
79	347	4001
80	349	3968
81	351	3932
82	352	3890
83	353	3854
84	355	3832
85	358	3812
86	361	3788
87	362	3758
88	364	3726
89	365	3696
90	366	3665
91	368	3635
92	372	3628
93	374	3608
94	375	3580
95	377	3551
96	378	3524
97	379	3496
98	381	3469
99	382	3443
100	384	3419
101	389	3431
102	392	3414
103	393	3394
104	395	3371
105	397	3352
106	400	3339
107	406	3358
108	408	3339
109	411	3332
110	413	3315
111	415	3297
112	421	3312
113	423	3295
114	426	3279
115	428	3263
116	429	3240
117	435	3258
118	437	3241
119	441	3241
120	444	3228
121	446	3209
122	448	3194
123	451	3193
124	454	3180
125	456	3165
126	457	3147
127	459	3131
128	461	3116
129	463	3099
130	465	3089
131	468	3082
132	471	3072
133	473	3062
134	475	3048
135	481	3059
136	484	3053
137	487	3045
138	490	3035
139	492	3022
140	495	3016
141	496	3001
142	498	2990
143	501	2981
144	503	2969
145	505	2958
146	510	2960
147	512	2951
148	516	2950
149	518	2939
150	520	2927
151	522	2916
152	526	2915
153	528	2905
154	531	2894
155	539	2918
156	543	2915
157	546	2909
158	548	2898
159	549	2887
160	553	2884
161	561	2905
162	563	2896
163	566	2887
164	568	2874
165	569	2862
166	572	2858
167	575	2850
168	577	2838
169	579	2827
170	580	2815
171	582	2806
172	585	2800
173	589	2798
174	591	2789
175	594	2781
176	596	2771
177	597	2760
178	600	2754
179	603	2749
180	605	2741
181	607	2730
182	609	2718
183	610	2707
184	612	2696
185	613	2684
186	615	2674
187	618	2669
188	620	2662
189	622	2654
190	625	2647
191	626	2636
192	628	2626
193	629	2615
194	631	2605
195	634	2602
196	637	2597
197	639	2590
198	641	2584
199	644	2579
200	646	2571
201	651	2572
202	653	2567
203	655	2558
204	658	2552
205	659	2543
206	661	2534
207	663	2526
208	666	2522
209	668	2514
210	670	2505
211	671	2496
212	673	2489
213	675	2481
214	677	2473
215	681	2473
216	683	2465
217	684	2456
218	687	2451
219	688	2442
220	690	2433
221	691	2424
222	693	2416
223	697	2415
224	699	2408
225	701	2401
226	703	2396
227	705	2390
228	708	2383
229	712	2386
230	714	2380
231	717	2373
232	721	2373
233	722	2366
234	725	2360
235	730	2365
236	733	2360
237	735	2354
238	738	2349
239	740	2344
240	747	2353
241	749	2347
242	751	2340
243	753	2334
244	756	2329
245	764	2343
246	766	2337
247	769	2333
248	777	2345
249	779	2339
250	782	2333
251	784	2328
252	786	2321
253	788	2315
254	791	2313
255	793	2307
256	796	2301
257	798	2295
258	799	2288
259	801	2282
260	803	2276
261	808	2278
262	812	2277
263	816	2275
264	818	2269
265	824	2275
266	826	2269
267	829	2265
268	831	2259
269	833	2253
270	835	2247
271	840	2250
272	842	2244
273	844	2238
274	847	2233
275	848	2226
276	851	2221
277	856	2224
278	858	2219
279	862	2217
280	864	2212
281	866	2207
282	870	2205
283	873	2201
284	875	2196
285	877	2190
286	879	2184
287	881	2179
288	884	2176
289	887	2173
290	889	2167
